steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	cumulative_steps	n_updates	rlen
1028	84	2.5636348724365234	49.1	38.0	23.600612044794282	85.0	25.0	5.157829	0.36111444875597953	1028	829	1028
2008	106	5.673904180526733	93.7	90.0	11.23536084571089	118.0	79.0	6.512585	0.2726571478694677	2008	1809	2000
3074	114	9.254476070404053	132.3	133.0	13.41682194527121	161.0	117.0	9.061596	0.2733847925812006	3074	2875	2000
4071	122	12.843690156936646	120.4	123.0	7.214183560490019	128.0	106.0	9.680796	0.14272884455509482	4071	3872	2000
5058	130	16.368072509765625	98.3	97.0	5.982381539896038	107.0	90.0	9.560343	0.09467050045263022	5058	4859	2000
6052	137	20.013596057891846	138.0	136.0	6.036923425424944	151.0	132.0	9.426634	0.052649706131778655	6052	5853	2000
7091	145	23.825071573257446	136.9	130.5	42.83158232478044	200.0	88.0	9.331668	0.03992257774807513	7091	6892	2000
8051	151	27.439936876296997	151.9	152.5	6.2084172253839744	163.0	144.0	9.239304	0.04019917262718081	8051	7852	2000
9123	158	31.30718421936035	168.6	163.0	29.695491614422252	200.0	128.0	9.59914	0.06127245940733701	9123	8924	2000
10091	163	34.960071325302124	158.7	159.0	11.314199534704658	175.0	141.0	9.661459	0.07087992006447166	10091	9892	2000
11091	168	38.53389048576355	185.3	187.5	11.284699572626842	200.0	168.0	9.805695	0.1178712435788475	11091	10892	2000
12114	174	42.27469563484192	134.9	134.5	11.957796155182145	156.0	115.0	9.796348	0.11542769752675668	12114	11915	2000
13037	181	45.5939085483551	75.1	73.0	22.521347897297602	106.0	47.0	9.840671	0.1535244143824093	13037	12838	2000
14189	187	50.284947633743286	200.0	200.0	0.0	200.0	200.0	9.613736	0.11957449429668486	14189	13990	2000
15177	192	53.890013694763184	184.9	184.0	13.551957628164116	200.0	162.0	9.908167	0.13000905034365132	15177	14978	2000
16019	197	57.522223472595215	200.0	200.0	0.0	200.0	200.0	9.795404	0.1262933863059152	16019	15820	2000
17019	202	61.733304500579834	200.0	200.0	0.0	200.0	200.0	9.802624	0.10472483274410478	17019	16820	2000
18114	209	65.77146768569946	48.2	46.0	36.64180975637287	87.0	12.0	9.884318	0.1550798128673341	18114	17915	2000
19086	215	69.00468420982361	12.7	12.5	1.636391694484477	16.0	11.0	9.875114	0.15369149517267944	19086	18887	2000
20000	221	72.2244040966034	157.3	156.5	5.396500923952688	166.0	150.0	9.809147	0.1443820515135303	20000	19801	2000
